"werr","wanzw","wm2","wanzr","wheiz","wrecht","wkges","wvertr","wfrist","bhhgr","dseitz","dstd","kjahr","xanzkind","xminalt","balt5","bsex","bfst","xbstaat","xbgeblan","xhatlevel","xeinw","xlfi","xpatch","xurb","xnuts1","xnuts2"
3,1,4,8,2,1,1,NA,-3,5,8,38.5,1,3,8,1,1,1,1,1,21,2,1,1,3,3,31
3,1,4,8,2,1,1,NA,-3,5,-3,-3,-3,3,8,0,2,1,1,1,999,2,3,1,3,3,31
6,2,3,4,3,3,5,1,1,4,44,40,11,2,1,5,1,2,1,1,52,2,1,2,2,3,32
6,2,3,4,3,3,5,1,1,4,2,10,8,2,1,5,2,2,1,1,52,2,1,2,2,3,32
6,2,3,4,3,3,5,1,1,4,-3,-3,-3,2,1,0,1,1,1,1,999,2,3,2,2,3,32
6,2,3,4,3,3,5,1,1,4,-3,-3,-3,2,1,0,1,1,1,1,999,2,3,2,2,3,32
3,3,2,4,2,3,2,48,2,1,-3,-3,69,-3,-3,15,2,3,1,1,32,4,3,-3,1,3,32
4,1,4,7,2,1,1,NA,-3,4,-3,-3,45,2,22,11,1,2,1,1,51,3,3,-3,2,2,21
4,1,4,7,2,1,1,NA,-3,4,-3,-3,43,2,22,11,2,2,1,1,51,3,3,-3,2,2,21
4,1,4,7,2,1,1,NA,-3,4,91,60,17,2,22,4,1,1,1,1,41,3,1,-3,2,2,21
4,1,4,7,2,1,1,NA,-3,4,-3,-3,12,2,22,4,1,1,1,1,41,3,3,-3,2,2,21
1,3,2,3,2,3,3,1,1,2,18,30,40,0,25,9,1,2,1,1,32,3,1,-3,1,3,34
1,3,2,3,2,3,3,1,1,2,24,40,42,0,25,9,2,4,1,1,21,3,1,-3,1,3,34
3,4,2,2,3,3,1,57,2,2,-3,-3,42,0,25,9,1,2,1,1,32,4,2,-3,1,1,13
3,4,2,2,3,3,1,57,2,2,143,30,39,0,25,9,2,2,1,3,21,4,1,-3,1,1,13
4,1,3,4,5,6,1,NA,-3,4,59,50,13,2,0,4,1,1,1,1,32,2,1,2,3,3,31
4,1,3,4,5,6,1,NA,-3,4,102,2,6,2,0,2,2,1,1,1,32,2,1,2,3,3,31
4,1,3,4,5,6,1,NA,-3,4,-3,-3,-3,2,0,0,2,1,1,1,999,2,3,2,3,3,31
4,1,3,4,5,6,1,NA,-3,4,-3,-3,-3,2,0,0,2,1,1,1,999,2,3,2,3,3,31
3,4,2,4,2,2,1,NA,-3,1,-3,-3,51,-3,-3,11,2,2,1,3,32,4,3,-3,1,1,13
5,5,3,4,1,2,2,NA,-3,3,-3,-3,43,1,23,10,1,2,2,1,32,4,3,-3,1,3,32
5,5,3,4,1,2,2,NA,-3,3,194,23,44,1,23,9,2,2,1,1,32,4,1,-3,1,3,32
5,5,3,4,1,2,2,NA,-3,3,29,50,24,1,23,5,2,2,1,1,21,4,1,-3,1,3,32
7,1,4,6,2,1,1,NA,-3,4,179,39,26,2,9,6,1,2,1,1,32,2,1,2,2,1,11
7,1,4,6,2,1,1,NA,-3,4,78,25,16,2,9,4,2,2,1,1,32,2,1,2,2,1,11
7,1,4,6,2,1,1,NA,-3,4,-3,-3,-3,2,9,0,2,1,1,1,999,2,3,2,2,1,11
7,1,4,6,2,1,1,NA,-3,4,-3,-3,-3,2,9,0,2,1,1,1,999,2,3,2,2,1,11
8,4,3,5,1,3,4,9,2,4,4,30,30,2,13,8,1,2,1,1,32,4,1,2,1,2,22
8,4,3,5,1,3,4,9,2,4,156,70,15,2,13,7,2,2,1,1,52,4,1,2,1,2,22
8,4,3,5,1,3,4,9,2,4,-3,-3,2,2,13,2,1,1,1,1,32,4,3,2,1,2,22
8,4,3,5,1,3,4,9,2,4,-3,-3,-3,2,13,0,2,1,1,1,999,4,3,2,1,2,22
4,1,5,8,2,1,1,NA,-3,5,388,38.5,33,2,19,8,1,2,1,1,32,1,1,2,3,2,21
4,1,5,8,2,1,1,NA,-3,5,148,10,31,2,19,7,2,2,1,1,22,1,1,2,3,2,21
4,1,5,8,2,1,1,NA,-3,5,-3,-3,64,-3,-3,13,2,3,1,1,21,1,3,-3,3,2,21
4,1,5,8,2,1,1,NA,-3,5,21,38.5,3,2,19,2,1,1,1,1,32,1,1,2,3,2,21
4,1,5,8,2,1,1,NA,-3,5,0,38.5,1,2,19,1,1,1,1,1,32,1,1,2,3,2,21
7,1,4,5,2,1,1,NA,-3,4,74,38,31,2,14,7,1,1,1,1,32,1,1,2,2,2,22
7,1,4,5,2,1,1,NA,-3,4,216,34,24,2,14,6,2,1,1,1,32,1,1,2,2,2,22
7,1,4,5,2,1,1,NA,-3,4,11,40,3,2,14,2,2,1,1,1,32,1,1,2,2,2,22
7,1,4,5,2,1,1,NA,-3,4,-3,-3,-3,2,14,0,2,1,1,1,999,1,3,2,2,2,22
2,4,2,3,1,3,2,2,2,1,474,38,43,-3,-3,9,1,4,1,1,32,2,1,-3,2,2,22
4,4,2,4,5,3,2,50,2,2,-3,-3,64,0,25,14,1,2,1,1,32,4,3,-3,1,3,33
4,4,2,4,5,3,2,50,2,2,-3,-3,60,0,25,12,2,2,1,1,21,4,3,-3,1,3,33
6,2,6,8,2,1,1,NA,-3,3,-3,-3,34,1,20,10,1,2,1,1,41,2,3,2,2,2,22
6,2,6,8,2,1,1,NA,-3,3,-3,-3,33,1,20,8,2,2,1,1,32,2,3,2,2,2,22
6,2,6,8,2,1,1,NA,-3,3,12,39,3,1,20,2,1,1,1,1,32,2,1,2,2,2,22
2,2,3,5,3,1,1,NA,-3,2,-3,-3,48,0,25,11,1,2,1,1,32,4,3,-3,1,3,31
2,2,3,5,3,1,1,NA,-3,2,61,40,40,0,25,9,2,1,1,1,22,4,1,-3,1,3,31
4,1,4,7,2,1,1,NA,-3,2,52,50,21,1,20,8,1,4,1,1,60,3,1,2,3,2,22
4,1,4,7,2,1,1,NA,-3,2,-3,-3,2,1,20,2,1,1,1,1,32,3,3,2,3,2,22
6,1,3,4,2,1,1,NA,-3,3,-3,-3,16,1,22,4,1,1,1,7,21,2,3,-3,2,1,11
6,1,3,4,2,1,1,NA,-3,3,-3,-3,36,1,22,10,1,2,1,7,52,2,3,-3,2,1,11
6,1,3,4,2,1,1,NA,-3,3,-3,-3,36,1,22,9,2,2,1,7,41,2,3,-3,2,1,11
8,1,4,3,2,1,1,NA,-3,2,268,40,41,0,25,9,1,2,1,1,32,2,1,-3,2,3,32
8,1,4,3,2,1,1,NA,-3,2,-3,-3,40,0,25,9,2,2,1,1,32,2,3,-3,2,3,32
6,2,3,5,2,1,1,NA,-3,5,125,38.5,26,3,3,6,1,2,1,1,32,1,1,2,2,3,31
6,2,3,5,2,1,1,NA,-3,5,-3,-3,13,3,3,4,2,2,1,1,32,1,3,2,2,3,31
6,2,3,5,2,1,1,NA,-3,5,-3,-3,-3,3,3,0,1,1,1,1,999,1,3,2,2,3,31
6,2,3,5,2,1,1,NA,-3,5,-3,-3,-3,3,3,0,2,1,1,1,999,1,3,2,2,3,31
6,2,3,5,2,1,1,NA,-3,5,-3,-3,-3,3,3,0,1,1,1,1,999,1,3,2,2,3,31
3,1,2,3,5,1,1,NA,-3,1,-3,-3,45,-3,-3,10,1,1,1,1,21,1,3,-3,3,1,12
5,2,6,9,2,1,1,NA,-3,2,227,40,17,-3,-3,4,2,4,1,1,32,1,1,-3,2,1,11
5,2,6,9,2,1,1,NA,-3,2,-3,-3,53,-3,-3,12,2,3,1,1,32,1,3,-3,2,1,11
8,5,2,2,2,3,3,4,2,1,49,43,7,-3,-3,6,2,4,1,5,52,4,1,-3,1,3,33
4,3,2,3,4,3,2,1,2,2,14,40,13,0,25,3,1,1,1,6,21,3,1,-3,2,3,31
4,3,2,3,4,3,2,1,2,2,14,30,6,0,25,3,2,1,1,1,32,3,1,-3,2,3,31
5,4,2,3,2,3,3,31,2,2,442,40,37,1,23,9,2,4,1,1,32,4,1,-3,1,2,22
5,4,2,3,2,3,3,31,2,2,-3,-3,19,1,23,5,1,1,1,1,32,4,3,-3,1,2,22
5,1,3,4,2,1,1,NA,-3,4,4,10,9,2,10,7,1,1,1,1,51,2,1,1,2,1,12
5,1,3,4,2,1,1,NA,-3,4,0,40,20,2,10,5,2,3,1,1,32,2,1,1,2,1,12
5,1,3,4,2,1,1,NA,-3,4,19,38.5,2,2,10,1,1,1,1,1,21,2,1,1,2,1,12
5,1,3,4,2,1,1,NA,-3,4,-3,-3,-3,2,10,0,2,1,1,1,999,2,3,1,2,1,12
8,1,4,8,2,1,1,NA,-3,4,78,41,24,2,7,8,1,2,1,1,60,2,1,1,2,3,32
8,1,4,8,2,1,1,NA,-3,4,-3,-3,22,2,7,6,2,2,1,1,41,2,3,1,2,3,32
8,1,4,8,2,1,1,NA,-3,4,-3,-3,1,2,7,2,2,1,1,1,32,2,3,1,2,3,32
8,1,4,8,2,1,1,NA,-3,4,-3,-3,-3,2,7,0,1,1,1,1,999,2,3,1,2,3,32
5,2,3,3,2,1,1,NA,-3,2,-3,-3,53,0,25,13,1,2,1,1,32,1,3,-3,3,1,12
5,2,3,3,2,1,1,NA,-3,2,-3,-3,63,0,25,13,2,2,1,1,21,1,3,-3,3,1,12
4,5,2,3,3,3,2,48,2,2,-3,-3,56,0,25,12,1,2,1,1,32,4,3,-3,1,3,31
4,5,2,3,3,3,2,48,2,2,-3,-3,54,0,25,12,2,2,1,1,32,4,3,-3,1,3,31
4,5,2,4,1,3,2,46,2,2,-3,-3,51,0,25,11,2,2,1,1,32,4,3,-3,1,2,22
4,5,2,4,1,3,2,46,2,2,-3,-3,40,0,25,12,1,2,1,1,51,4,3,-3,1,2,22
2,3,2,4,5,3,1,30,2,1,-3,-3,72,-3,-3,15,2,3,1,3,21,3,3,-3,2,3,34
2,5,2,3,1,4,1,NA,-3,1,149,40,40,-3,-3,9,1,4,1,4,32,4,1,-3,1,1,13
1,4,3,5,5,3,2,7,2,5,-3,-3,11,3,2,3,2,2,4,4,21,4,3,2,1,1,13
1,4,3,5,5,3,2,7,2,5,31,40,10,3,2,3,1,2,1,4,21,4,1,2,1,1,13
1,4,3,5,5,3,2,7,2,5,-3,-3,-3,3,2,0,2,1,1,1,999,4,3,2,1,1,13
1,4,3,5,5,3,2,7,2,5,-3,-3,-3,3,2,0,2,1,1,1,999,4,3,2,1,1,13
1,4,3,5,5,3,2,7,2,5,-3,-3,-3,3,2,0,1,1,1,1,999,4,3,2,1,1,13
2,5,2,4,1,3,3,4,2,2,-3,-3,5,0,25,2,1,1,1,1,41,4,3,-3,1,1,13
2,5,2,4,1,3,3,4,2,2,-3,-3,8,0,25,3,2,1,1,1,41,4,3,-3,1,1,13
5,1,5,8,5,1,1,NA,-3,1,-3,-3,48,-3,-3,10,2,3,1,1,21,2,3,-3,3,1,11
2,3,2,4,2,3,2,65,2,4,-3,-3,68,0,25,14,1,2,1,1,32,2,3,-3,3,1,12
2,3,2,4,2,3,2,65,2,4,-3,-3,72,0,25,15,2,2,1,1,21,2,3,-3,3,1,12
2,3,2,4,2,3,2,65,2,4,22,50,14,-3,-3,7,2,1,7,7,41,2,1,-3,3,1,12
2,3,2,4,2,3,2,65,2,4,2,50,1,-3,-3,8,2,3,7,7,22,2,1,-3,3,1,12
5,1,3,5,2,1,1,NA,-3,7,-3,-3,61,1,23,13,2,3,1,1,21,1,3,-3,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,58,-3,-3,12,1,1,1,1,21,1,3,-3,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,28,2,12,6,2,4,1,1,21,1,3,1,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,25,2,12,6,1,1,2,2,32,1,2,1,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,25,1,23,5,1,1,1,1,21,1,2,-3,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,5,2,12,2,1,1,1,1,32,1,2,1,3,1,11
5,1,3,5,2,1,1,NA,-3,7,-3,-3,-3,2,12,0,2,1,1,1,999,1,3,1,3,1,11
